MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,DEST,DEP_DELAY,CRS_ELAPSED_TIME,DISTANCE,CRS_DEP_M,DEP_TIME_M,CRS_ARR_M,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,sch_dep,sch_arr,TAXI_OUT,Cloudy,Windy,Fair,Rain,Fog,Drizzle,Snow,Wintry Mix,Freezing Rain,MONTH_sin,MONTH_cos,DAY_OF_MONTH_sin,DAY_OF_MONTH_cos,DAY_OF_WEEK_sin,DAY_OF_WEEK_cos
11,1,5,1,31,0,184,1089,420,424,604,47,29,59,15,24,29,30.0,30,26,24,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,1,28,0,376,2475,480,474,676,50,29,52,15,21,30,30.0,30,26,20,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,28,0,376,2475,480,479,676,50,29,52,15,21,30,30.0,30,26,12,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,30,0,176,944,480,480,656,50,29,52,15,21,30,30.0,46,19,10,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,31,0,181,1089,485,480,666,50,29,52,15,21,30,30.0,46,19,36,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,1,12,0,136,541,485,481,621,50,29,52,15,21,30,30.0,46,19,21,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,30,0,170,944,485,482,655,50,29,52,15,21,30,30.0,46,19,15,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,56,0,400,2586,490,483,710,50,29,52,15,21,30,30.0,46,19,28,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,20,0,187,1069,480,484,667,50,29,52,15,21,30,30.0,46,19,25,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,58,0,234,1598,485,484,719,50,29,52,15,21,30,30.0,46,19,29,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,1,31,0,194,1089,490,498,684,50,29,52,15,21,30,30.0,46,19,25,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,20,0,174,1069,485,499,659,50,29,52,15,21,30,30.0,46,19,26,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,28,0,379,2475,515,511,714,50,29,52,15,21,30,30.0,46,19,25,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,1,0,146,760,510,512,656,50,29,52,15,21,30,30.0,46,19,16,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,28,0,370,2475,515,512,705,50,29,52,15,21,30,30.0,46,19,16,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,4,1,73,187,427,515,500,50,29,52,15,21,30,30.0,46,19,22,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,7,1,84,301,480,517,564,50,29,52,15,21,30,30.0,46,19,15,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,0,7,1,95,301,485,536,580,52,28,47,16,25,32,30.02,46,19,22,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,58,0,232,1598,550,545,782,52,28,47,16,25,32,30.02,30,18,19,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,1,28,0,374,2475,555,551,749,52,28,47,16,25,32,30.02,30,18,18,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,30,0,176,944,560,555,736,52,28,47,16,25,32,30.02,30,18,17,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,56,0,397,2586,562,559,779,52,28,47,16,25,32,30.02,30,18,15,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,2,56,0,395,2586,570,569,785,52,28,47,16,25,32,30.02,30,18,35,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,56,0,387,2586,580,574,787,52,28,47,16,25,32,30.02,30,18,22,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,20,0,188,1069,590,591,778,54,28,43,15,21,33,30.05,30,18,18,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,7,0,85,301,599,594,684,54,28,43,15,21,33,30.05,30,18,18,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,28,0,376,2475,608,604,804,54,28,43,15,21,33,30.05,16,19,14,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,28,1,360,2475,595,616,775,54,28,43,15,21,33,30.05,16,19,15,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,0,4,0,82,187,630,627,712,54,28,43,15,21,33,30.05,16,19,16,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,56,0,393,2586,659,652,872,55,27,40,15,20,31,30.05,16,19,9,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,1,56,0,382,2586,660,654,862,55,27,40,15,20,31,30.05,16,19,21,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,1,28,0,368,2475,660,657,848,55,27,40,15,20,31,30.05,16,19,22,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,30,0,175,944,665,661,840,55,27,40,15,20,31,30.05,29,17,16,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,1,31,0,183,1089,665,668,848,55,27,40,15,20,31,30.05,29,17,17,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,4,0,70,187,677,675,747,55,27,40,15,20,31,30.05,29,17,17,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,56,0,391,2586,685,685,896,55,27,40,15,20,31,30.05,29,17,17,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,2,56,0,395,2586,690,686,905,55,27,40,15,20,31,30.05,29,17,20,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,2,28,0,380,2475,690,690,890,55,27,40,15,20,31,30.05,29,17,22,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,12,0,135,541,705,704,840,55,27,40,15,20,31,30.05,29,17,12,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,28,0,373,2475,720,714,913,57,28,39,16,21,26,30.06,29,17,13,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,28,0,361,2475,705,716,886,57,28,39,16,21,26,30.06,29,17,14,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,1,0,146,760,719,718,865,57,28,39,16,21,26,30.06,29,17,18,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,58,0,233,1598,719,719,952,57,28,39,16,21,26,30.06,29,17,22,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,20,1,188,1069,690,738,878,57,28,39,16,21,26,30.06,20,24,23,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,1,28,0,369,2475,750,741,939,57,28,39,16,21,26,30.06,20,24,13,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,1,31,0,185,1089,749,746,934,57,28,39,16,21,26,30.06,20,24,16,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,8,4,0,79,187,750,750,829,57,28,39,16,21,26,30.06,20,24,19,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,1,12,1,120,541,738,755,858,57,28,39,16,21,26,30.06,20,24,21,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,4,0,69,187,780,780,849,57,26,36,16,17,25,30.08,22,32,15,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,2,28,0,380,2475,805,804,1005,57,26,36,16,17,25,30.08,22,32,13,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,1,12,0,126,541,811,806,937,57,26,36,16,17,25,30.08,22,32,16,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,7,7,0,87,301,810,810,897,57,26,36,16,17,25,30.08,22,32,14,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,1,0,145,760,825,820,970,57,26,36,16,17,25,30.08,22,32,22,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,20,0,187,1069,826,820,1013,57,26,36,16,17,25,30.08,22,32,21,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,1,28,0,373,2475,870,863,1063,57,27,37,15,17,23,30.1,25,36,18,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,28,0,375,2475,869,867,1064,57,27,37,15,17,23,30.1,25,36,11,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,31,0,196,1089,910,907,1106,55,27,40,15,14,0,30.12,25,32,17,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,58,1,229,1598,839,911,1068,55,27,40,15,14,0,30.12,25,32,18,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,56,0,404,2586,930,923,1154,55,27,40,15,14,0,30.12,25,32,16,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,1,31,0,193,1089,930,927,1123,55,27,40,15,14,0,30.12,25,32,23,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,30,0,184,944,935,932,1119,55,27,40,15,14,0,30.12,25,32,21,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,4,0,75,187,936,933,1011,55,27,40,15,14,0,30.12,25,32,28,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,1,1,156,760,885,934,1041,55,27,40,15,14,0,30.12,25,32,13,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,28,0,375,2475,930,940,1125,55,27,40,15,14,0,30.12,25,32,26,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,20,0,192,1069,940,943,1132,55,27,40,15,14,0,30.12,25,32,26,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,1,0,160,760,939,947,1099,55,27,40,15,14,0,30.12,25,32,13,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,7,1,84,301,889,950,973,55,27,40,15,14,0,30.12,25,32,21,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,58,1,233,1598,929,973,1162,53,27,43,16,15,0,30.14,24,34,13,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,28,0,381,2475,960,974,1161,53,27,43,16,15,0,30.14,24,34,19,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,1,56,0,400,2586,980,978,1200,53,27,43,16,15,0,30.14,24,34,20,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,30,0,176,944,978,982,1154,53,27,43,16,15,0,30.14,24,34,12,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,20,0,187,1069,990,988,1177,53,27,43,16,15,0,30.14,24,34,16,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,0,7,0,104,301,1000,996,1104,53,27,43,16,15,0,30.14,24,34,16,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,56,1,402,2586,956,1002,1178,53,27,43,16,15,0,30.14,24,34,17,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,2,28,0,390,2475,1015,1011,1225,52,26,43,8,16,0,30.17,24,34,18,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,2,56,0,405,2586,1020,1013,1245,52,26,43,8,16,0,30.17,24,34,24,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,1,28,0,385,2475,1020,1016,1225,52,26,43,8,16,0,30.17,24,34,15,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,1,0,154,760,1019,1018,1173,52,26,43,8,16,0,30.17,24,34,10,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,0,4,0,99,187,1015,1021,1114,52,26,43,8,16,0,30.17,26,30,17,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,4,0,71,187,1020,1023,1091,52,26,43,8,16,0,30.17,26,30,19,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,1,12,1,131,541,1010,1029,1141,52,26,43,8,16,0,30.17,26,30,14,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,28,1,374,2475,1040,1066,1234,52,26,43,8,16,0,30.17,26,30,19,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,1,56,0,400,2586,1065,1075,1285,50,24,44,8,17,0,30.2,26,30,17,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,7,0,90,301,1115,1111,1205,50,24,44,8,17,0,30.2,34,35,21,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,28,0,370,2475,1120,1116,1310,50,24,44,8,17,0,30.2,34,35,19,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,1,0,154,760,1125,1128,1279,50,24,44,8,17,0,30.2,34,35,19,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,1,12,0,137,541,1139,1149,1276,50,24,44,8,17,0,30.2,40,24,15,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,30,1,176,944,1069,1150,1245,50,24,44,8,17,0,30.2,40,24,18,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,30,0,186,944,1165,1157,1351,50,24,44,8,17,0,30.2,40,24,13,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,1,28,1,387,2475,1109,1161,1316,49,26,48,7,12,0,30.21,40,24,34,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,20,1,188,1069,1130,1163,1318,49,26,48,7,12,0,30.21,40,24,23,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,28,0,390,2475,1165,1163,1375,49,26,48,7,12,0,30.21,40,24,21,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,31,0,192,1089,1165,1164,1357,49,26,48,7,12,0,30.21,40,24,17,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,56,0,409,2586,1180,1171,1409,49,26,48,7,12,0,30.21,40,24,31,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,12,0,156,541,1185,1179,1341,49,26,48,7,12,0,30.21,40,24,14,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,56,0,403,2586,1205,1198,1428,49,26,48,7,12,0,30.21,40,24,30,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,0,4,0,104,187,1199,1199,1303,49,26,48,7,12,0,30.21,40,24,39,0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
